CustomerKey,GeographyKey,CustomerName,BirthDate,MaritalStatus,Gender
11067,632,Caleb Carter,3/25/1982,Single,Male
11068,40,Tiffany Liang,9/19/1966,Single,Female
11069,23,Carolyn Navarro,9/17/1966,Single,Female
11070,39,Willie Raji,10/2/1960,Married,Male
11071,24,Linda Serrano,12/23/1960,Single,Female
11072,17,Casey Luo,8/5/1960,Single,Female
11073,16,Amy Ye,2/11/1962,Single,Female
11074,28,Levi Arun,2/25/1962,Single,Male
11075,32,Felicia Jimenez,5/16/1963,Single,Female
11076,19,Blake Anderson,1/10/1963,Single,Male
11077,36,Leah Ye,3/19/1963,Single,Female
11078,49,Gina Martin,1/6/1985,Single,Female
11079,34,Donald Gonzalez,3/7/1970,Single,Male
11080,30,Damien Chander,1/13/1965,Married,Male
11081,311,Savannah Baker,1/21/1972,Married,Female
11082,322,Angela Butler,2/1/1972,Single,Female
11083,336,Alyssa Cox,3/11/1977,Married,Female
11084,543,Lucas Phillips,3/12/1963,Single,Male
11085,345,Emily Johnson,1/16/1963,Single,Female
11086,369,Ryan Brown,6/22/1963,Married,Male
11087,307,Tamara Liang,4/2/1963,Married,Female
11088,359,Hunter Davis,5/25/1963,Married,Male
11089,337,Abigail Price,8/5/1962,Single,Female
11090,338,Trevor Bryant,12/13/1968,Single,Male
11091,50,Dalton Perez,10/2/1962,Married,Male
11092,22,Cheryl Diaz,11/2/1972,Married,Female
11093,19,Aimee He,9/6/1978,Married,Female
11094,33,Cedric Ma,9/29/1967,Single,Male
11095,13,Chad Kumar,2/29/1968,Single,Male
11096,12,Andrés Anand,2/7/1968,Married,Male
11097,40,Edwin Nara,10/23/1972,Married,Male
11098,14,Mallory Rubio,10/29/1966,Single,Female
11099,13,Adam Ross,9/5/1966,Married,Male
11100,28,Latasha Navarro,3/15/1966,Single,Female
11101,33,Abby Sai,11/5/1970,Single,Female
11102,18,Julia Nelson,10/19/1970,Single,Female
11103,3,Cassie Chande,4/12/1981,Single,Female
11104,23,Edgar Sara,3/8/1975,Married,Male
11105,8,Candace Fernandez,6/27/1970,Single,Female
11106,40,Jessie Liu,3/11/1970,Single,Male
11107,17,Bianca Lin,3/4/1976,Married,Female
11108,13,Kari Alvarez,1/10/1969,Single,Female
11109,38,Ruben Kapoor,4/30/1980,Single,Male
11110,3,Curtis Yang,12/4/1967,Married,Male
11111,34,Meredith Gutierrez,8/23/1967,Married,Female
11112,25,Crystal Wang,3/8/1968,Married,Female
11113,30,Micheal Blanco,2/17/1973,Married,Male
11114,14,Leslie Moreno,11/25/1967,Single,Female
11115,17,Alvin Cai,8/12/1967,Married,Male
11116,18,Clinton Carlson,4/2/1979,Married,Male
11117,8,April Deng,8/21/1966,Married,Female
11118,6,Alvin Zeng,12/31/1962,Single,Male
11119,13,Evan James,10/7/1940,Single,Male
11120,18,Beth Jiménez,2/6/1942,Single,Female
11121,10,Orlando Suarez,5/18/1966,Married,Male
11122,12,Byron Vazquez,9/30/1965,Married,Male
11123,39,Philip Alvarez,12/18/1965,Married,Male
11124,40,Ross Jordan,7/23/1968,Single,Male
11125,37,Dana Navarro,10/6/1961,Single,Female
11126,11,Shaun Carson,10/5/1954,Married,Male
11127,361,Jan Edwards,4/19/1981,Married,Female
11128,635,Samantha Long,6/3/1981,Married,Female
11129,638,Julia Wright,2/1/1981,Single,Female
11130,543,Caroline Russell,7/5/1985,Married,Female
11131,50,Amanda Rivera,9/9/1985,Married,Female
11132,51,Melissa Richardson,4/25/1986,Single,Female
11133,542,Angela Griffin,3/8/1986,Single,Female
11134,30,Larry Townsend,2/22/1957,Single,Male
11135,302,Marcus Harris,5/2/1985,Single,Male
11136,53,Brianna Morgan,4/24/1984,Single,Female
11137,641,Jasmine Taylor,1/17/1984,Married,Female
11138,325,Lauren Davis,3/14/1984,Married,Female
11139,28,Tanya Moreno,11/5/1949,Single,Female
11140,301,Javier Alvarez,8/11/1982,Single,Male
11141,314,Nicole Ramirez,12/19/1982,Married,Female
11142,51,Eduardo Patterson,2/11/1983,Single,Male
11143,334,Jonathan Henderson,8/4/1982,Married,Male
11144,607,Edward Hernandez,3/8/1985,Single,Male
11145,536,Jasmine Coleman,6/6/1985,Single,Female
11146,8,Karla Goel,2/22/1945,Single,Female
11147,40,Ernest Wu,8/4/1944,Married,Male
11148,22,Ross Vazquez,2/13/1947,Married,Male
11149,25,Theodore Gill,10/18/1946,Married,Male
11150,39,Russell Shen,9/12/1946,Single,Male
11151,18,Melinda Gill,8/25/1947,Single,Female
11152,633,James Williams,7/9/1981,Single,Male
11153,635,Angela James,12/21/1981,Married,Female
11154,553,Megan Walker,2/18/1982,Single,Female
11155,301,Hunter Robinson,7/25/1981,Single,Male
11156,334,Maria Roberts,8/6/1981,Single,Female
11157,642,Hannah Long,12/8/1980,Married,Female
11158,361,Jason Wright,4/6/1981,Single,Male
11159,385,Brianna Hughes,3/16/1981,Single,Female
11160,311,Maurice Tang,7/8/1979,Single,Male
11161,311,Emily Wood,10/20/1979,Single,Female
11162,331,Chase Cox,9/2/1979,Single,Male
11163,372,Gabriel Wang,6/18/1980,Married,Male
11164,374,Devin Brooks,11/2/1979,Single,Male
11165,348,Jocelyn Alexander,1/15/1979,Married,Female
11166,631,Ashley Martinez,10/22/1977,Single,Female
11167,618,Jasmine Barnes,1/29/1978,Single,Female
11168,348,David Rodriguez,11/12/1973,Single,Male
11169,312,Bryce Richardson,12/20/1973,Married,Male
11170,612,Carol Howard,8/4/1973,Married,Female
11171,385,Jonathan Hill,10/5/1978,Single,Male
11172,626,Gabrielle Adams,5/20/1973,Married,Female
11173,552,Sarah Thomas,2/28/1973,Single,Female
11174,338,Nicholas Robinson,1/9/1973,Married,Male
11175,300,Luis Wang,9/1/1968,Single,Male
11176,50,Mason Roberts,1/21/1979,Married,Male
11177,359,Jose Flores,1/1/1948,Married,Male
11178,334,Nathan Johnson,8/20/1954,Married,Male
11179,300,Molly Rodriguez,12/8/1959,Married,Female
11180,307,April Anand,7/1/1948,Married,Female
11181,338,Devin Martin,2/1/1960,Married,Male
11182,638,Stephanie Torres,2/22/1950,Single,Female
11183,368,Jasmine Lee,1/12/1950,Single,Female
11184,311,Meghan Hernandez,11/13/1955,Single,Female
11185,53,Ashley Henderson,4/7/1950,Single,Female
11186,352,Sarah Price,11/18/1949,Single,Female
11187,612,Jennifer Cooper,8/21/1949,Married,Female
11188,361,Catherine Morris,3/6/1950,Married,Female
11189,609,Lawrence Blanco,1/12/1950,Single,Male
11190,300,Carson Bryant,12/20/1949,Married,Male
11191,310,Kristi Perez,6/17/1951,Single,Female
11192,637,James Brown,3/13/1951,Married,Male
11193,553,Ian Gray,8/13/1950,Married,Male
11194,352,Jacqueline Price,12/8/1950,Married,Female
11195,635,Megan Henderson,8/10/1951,Married,Female
11196,536,Alfredo Romero,12/5/1951,Married,Male
11197,637,Andrea Morris,12/16/1951,Married,Female
11198,368,Brooke Sanders,5/25/1952,Single,Female
11199,302,Jacqueline Bennett,11/2/1957,Married,Female
11200,69,Jason Griffin,5/21/1953,Married,Male
11201,369,Amanda Foster,2/14/1953,Married,Female
11202,334,Alexia Price,8/22/1958,Married,Female
11203,60,Luis Diaz,8/18/1959,Married,Male
11204,536,Destiny Rivera,11/29/1953,Married,Female
11205,612,Abby Fernandez,1/21/1954,Married,Female
11206,626,Blake Flores,3/24/1954,Married,Male
11207,635,Danielle Cox,1/16/1954,Single,Female
11208,325,Maria Reed,8/3/1953,Married,Female
11209,336,Allison Evans,7/12/1953,Married,Female
11210,383,Edward Wood,12/6/1953,Married,Male
11211,50,Samantha Russell,10/8/1960,Married,Female
11212,53,Chloe Campbell,5/5/1955,Married,Female
11213,614,Stephanie Murphy,11/11/1954,Single,Female
11214,545,Charles Miller,5/7/1955,Single,Male
11215,62,Ana Perry,6/17/1961,Married,Female
11216,547,Jasmine Torres,11/17/1955,Single,Female
11217,547,Natalie Adams,8/11/1955,Single,Female
11218,642,Olivia Brown,9/7/1961,Single,Female
11219,553,Charles Cook,5/31/1956,Married,Male
11220,310,Erica Huang,2/19/1961,Married,Female
11221,334,Nathan Perry,12/8/1955,Married,Male
11222,369,Alexandra Rivera,2/14/1956,Married,Female
11223,52,Hailey Patterson,3/15/1957,Single,Female
11224,612,Tiffany Li,3/5/1957,Single,Female
11225,635,Madison Lee,2/12/1962,Married,Female
11226,552,Sydney Ross,9/23/1962,Married,Female
11227,310,Marshall Chavez,8/8/1962,Single,Male
11228,316,Ashley Jones,10/16/1956,Married,Female
11229,355,Adrian Stewart,6/1/1957,Single,Male
11230,369,Amber Turner,9/30/1956,Married,Female
11231,611,Dennis Zhang,11/11/1963,Married,Male
11232,616,Hailey Bryant,3/27/1958,Married,Female
11233,299,Todd Li,9/6/1963,Married,Male
11234,337,Anna Griffin,5/19/1958,Single,Female
11235,607,Angel Stewart,8/7/1957,Married,Male
11236,609,Jeremy Butler,9/2/1957,Single,Male
11237,161,Clarence Anand,3/22/1964,Single,Male
11238,232,Mayra Prasad,2/7/1964,Single,Female
11239,249,Latoya Goel,10/2/1969,Married,Female
11240,273,Anne Hernandez,6/9/1964,Married,Female
11241,211,Lisa Cai,4/6/1974,Single,Female
11242,209,Larry Munoz,5/11/1963,Married,Male
11243,237,Robin Alvarez,4/8/1963,Married,Female
11244,267,Alexis Coleman,11/22/1968,Single,Female
11245,132,Ricky Vazquez,4/26/1962,Married,Male
11246,147,Latasha Rubio,4/8/1962,Married,Female
11247,242,Claudia Zhou,12/4/1961,Single,Female
11248,223,Tristan Alexander,3/22/1966,Married,Male
11249,178,Cindy Patel,7/9/1966,Married,Female
11250,276,Shannon Liu,3/8/1966,Married,Female
11251,50,Xavier Long,1/1/1938,Single,Male
11252,335,Nicholas Thompson,12/5/1937,Single,Male
11253,69,José Hernandez,8/24/1949,Married,Male
11254,612,Johnathan Vance,8/31/1938,Married,Male
11255,612,Colin Lin,10/2/1938,Married,Male
11256,626,Katelyn Hernandez,3/20/1939,Married,Female
11257,345,Jacqueline Powell,7/6/1938,Single,Female
11258,352,Xavier Hill,12/26/1938,Married,Male
11259,548,Victoria Stewart,9/24/1970,Married,Female
11260,302,Katelyn Kelly,4/8/1976,Married,Female
11261,359,Stephanie Collins,10/22/1970,Married,Female
11262,60,Jennifer Simmons,5/1/1975,Married,Female
11263,612,Trinity Richardson,3/11/1970,Married,Female
11264,618,Eduardo Martin,12/15/1969,Single,Male
11265,623,Elizabeth Jones,1/10/1970,Married,Female
11266,632,Taylor Howard,11/2/1969,Single,Female
11267,302,David Diaz,9/29/1975,Single,Male
11268,312,Katelyn Carter,10/31/1969,Married,Female
11269,314,Ryan Foster,10/10/1975,Married,Male
11270,334,Robert Lee,5/1/1975,Married,Male
11271,360,Danielle Reed,12/3/1969,Single,Female
11272,300,Lauren Martinez,5/10/1962,Single,Female
11273,331,Nathan Lal,3/31/1962,Married,Male
11274,609,Kyle Foster,10/10/1939,Married,Male
11275,310,Jenny Rai,7/18/1939,Married,Female
11276,49,Nancy Chapman,9/15/1974,Married,Female
11277,62,Charles Jackson,12/7/1968,Married,Male
11278,614,Jonathan Phillips,2/16/1969,Single,Male
11279,616,Amanda Cook,9/8/1974,Married,Female
11280,626,Robert Collins,2/17/1969,Married,Male
11281,301,Megan Barnes,10/6/1974,Single,Female
11282,612,Christian Thomas,7/16/1967,Married,Male
11283,299,Arturo Lal,4/24/1968,Married,Male
11284,307,Theresa Serrano,9/24/1967,Married,Female
11285,322,Jeremy Anderson,3/15/1973,Married,Male
11286,374,Hunter Griffin,8/31/1967,Married,Male
11287,49,Henry Garcia,7/16/1966,Married,Male
11288,301,Cindy Sanchez,3/12/1978,Married,Female
11289,315,Maria Carter,3/3/1972,Married,Female
11290,334,Katelyn Sanchez,8/14/1972,Married,Female
11291,335,Jenna Wright,5/1/1972,Married,Female
11292,361,Seth Phillips,5/5/1967,Single,Male
11293,632,Luke Long,11/23/1960,Single,Male
11294,618,Dalton Clark,3/2/1961,Married,Male
11295,311,Taylor Lewis,11/13/1959,Single,Female
11296,616,Haley Richardson,4/5/1941,Single,Female
11297,301,Noah Coleman,8/1/1940,Single,Male
11298,307,Jon Luo,8/30/1940,Married,Male
11299,301,Orlando Vazquez,9/29/1941,Married,Male
11300,54,Fernando Barnes,8/31/1965,Married,Male
11301,607,Cameron Rodriguez,12/7/1965,Married,Male
11302,539,Spencer Russell,12/9/1971,Single,Male
11303,614,Julia Coleman,4/10/1966,Single,Female
11304,547,Julia Garcia,3/14/1971,Married,Female
11305,307,Sean Evans,12/17/1965,Married,Male
11306,312,Micah Zhou,12/20/1965,Married,Male
11307,314,Hunter Rodriguez,10/31/1965,Married,Male
11308,546,Ian Gonzales,9/2/1959,Married,Male
11309,536,Victoria Lewis,12/10/1959,Single,Female
11310,360,Erin Sanders,7/5/1964,Single,Female
11311,626,Gabrielle Lopez,2/21/1959,Single,Female
11312,626,Sara Richardson,10/1/1958,Single,Female
11313,632,Trevor Jenkins,8/27/1958,Single,Male
11314,618,Mya Flores,6/16/1970,Single,Female
11315,632,Hailey Ward,3/31/1959,Single,Female
11316,51,Luke Allen,5/17/1959,Married,Male
11317,548,Victoria Russell,9/14/1963,Single,Female
11318,614,Jessica Wilson,4/25/1958,Single,Female
11319,348,Jade Bailey,4/23/1948,Married,Female
11320,325,Morgan Hill,12/24/1942,Married,Female
11321,612,Terrance Raman,1/5/1944,Married,Male
11322,611,Sydney Garcia,9/12/1943,Married,Female
11323,314,Jose Patterson,12/18/1943,Single,Male
11324,325,Zachary Anderson,11/10/1944,Married,Male
11325,637,Elijah Ross,12/29/1944,Single,Male
11326,300,Rafael Xie,12/23/1944,Married,Male
11327,301,Jaime Moreno,9/1/1945,Married,Male
11328,55,Julian Griffin,6/30/1945,Married,Male
11329,311,Andy Alvarez,1/22/1946,Single,Male
11330,59,Ryan Thompson,11/10/1945,Married,Male
11331,63,Samantha Jenkins,1/3/1974,Married,Female
11332,153,Deanna Ramos,4/2/1968,Single,Female
11333,261,Emily Miller,1/7/1968,Married,Female
11334,269,Nicole Brown,9/19/1966,Married,Female
11335,120,Carla Raman,12/18/1977,Married,Female
11336,204,Shaun Raji,3/8/1973,Married,Male
11337,273,Jerome Romero,3/21/1967,Married,Male
11338,154,Frank Navarro,8/6/1972,Married,Male
11339,202,Dennis She,1/5/1967,Single,Male
11340,192,Melody Munoz,4/3/1947,Married,Female
11341,236,Randy Zeng,2/18/1942,Married,Male
11342,191,Marshall Wang,3/7/1973,Married,Male
11343,264,Arthur Carlson,3/9/1975,Married,Male
11344,262,Jessie Jimenez,1/21/1963,Married,Female
11345,224,Robin Ramos,9/9/1962,Single,Female
11346,196,Deanna Gutierrez,5/18/1966,Single,Female
11347,156,Roy Navarro,6/17/1972,Married,Male
11348,151,Shawn Rai,3/21/1961,Married,Male
11349,134,Mindy Luo,8/30/1965,Married,Female
11350,265,Cara Zhou,7/14/1942,Married,Female
11351,253,Anne Ramos,4/2/1950,Single,Female
11352,222,Raymond Rodriguez,9/4/1945,Married,Male
11353,271,Carrie Ortega,12/9/1946,Single,Female
11354,119,Deanna Suarez,8/23/1947,Married,Female
11355,275,Roberto Gutierrez,6/26/1948,Married,Male
11356,6,Terrence Carson,11/24/1985,Single,Male
11357,21,Ramon Ye,9/19/1984,Single,Male
11358,2,Cynthia Malhotra,5/10/1984,Single,Female
11359,7,Jarrod Prasad,3/3/1984,Single,Male
11360,26,Tyrone Serrano,1/30/1984,Single,Male
11361,10,Cindy Ramos,10/26/1982,Married,Female
11362,33,Damien Shan,5/11/1983,Married,Male
11363,35,Julian Ross,4/19/1983,Single,Male
11364,34,Jennifer Collins,3/22/1985,Single,Female
11365,29,Brittney Sun,12/6/1984,Single,Female
11366,37,Virginia Patel,4/23/1985,Married,Female
11367,12,Calvin Nara,8/21/1984,Married,Male
11368,26,Edward Miller,5/24/1984,Single,Male
11369,29,Ashlee Tang,2/1/1984,Married,Female
11370,38,Alicia Xu,9/29/1983,Married,Female
11371,26,Lacey Jai,11/24/1983,Married,Female
11372,20,Wendy Romero,11/12/1983,Single,Female
11373,135,Carly Luo,9/16/1954,Married,Female
11374,162,Jimmy Ortega,12/25/1948,Single,Male
11375,240,Francisco Martinez,11/5/1948,Married,Male
11376,268,Lance Vazquez,12/7/1948,Single,Male
11377,161,David Robinett,8/23/1966,Married,Male
11378,184,Shannon Liang,11/19/1965,Single,Female
11379,214,Gary Vazquez,5/13/1976,Married,Male
11380,175,Mitchell Kumar,8/29/1964,Single,Male
11381,249,Meredith Raman,8/18/1970,Married,Female
11382,189,Edward Patterson,7/15/1974,Married,Male
11383,206,Marie Gill,2/25/1966,Married,Female
11384,211,Tiffany Wang,10/13/1971,Married,Female
11385,279,Miguel Allen,8/8/1971,Single,Male
11386,127,Jaclyn Cai,11/2/1971,Married,Female
11387,238,Megan Ramirez,11/29/1964,Single,Female
11388,279,Joseph Martin,1/20/1965,Married,Male
11389,130,Karl Shan,4/20/1981,Single,Male
11390,208,Christine Raji,4/17/1976,Single,Female
11391,135,Lindsay Xie,6/25/1976,Single,Female
11392,131,Willie Zhao,2/3/1981,Single,Male
11393,182,Kurt Pal,7/17/1974,Single,Male
11394,259,George McDonald,4/22/1975,Single,Male
11395,118,Beth Gutierrez,4/16/1976,Single,Female
11396,175,Ian Lopez,4/4/1975,Married,Male
11397,197,Latoya Shan,12/2/1974,Single,Female
11398,261,Colin Nath,3/9/1975,Single,Male
11399,202,Brenda Mehta,2/1/1975,Single,Female
11400,251,Franklin Raji,4/15/1980,Single,Male
11401,204,Linda Navarro,2/23/1975,Married,Female
11402,183,Kelli Cai,5/20/1975,Married,Female
11403,179,Nancy Schmidt,1/6/1980,Single,Female
11404,133,Megan Taylor,6/30/1957,Single,Female
11405,143,Bonnie Goel,8/16/1957,Single,Female
11406,199,Latoya Xu,12/31/1957,Married,Female
11407,170,Mario She,9/30/1957,Married,Male
11408,257,Darren Gill,5/10/1964,Married,Male
11409,208,Jacqueline Hayes,3/2/1979,Single,Female
11410,201,Maurice Goel,2/22/1974,Married,Male
11411,121,Devin Ross,8/12/1959,Married,Male
11412,121,Sydney Bryant,10/7/1959,Single,Female
11413,238,Megan Stewart,10/13/1959,Married,Female
11414,241,Ian Richardson,9/15/1959,Single,Male
11415,127,Randy She,12/3/1949,Single,Male
11416,185,Katrina Becker,9/16/1950,Married,Female
11417,222,Lacey Zheng,8/26/1950,Married,Female
11418,160,Rafael Hu,8/9/1950,Single,Male
11419,273,Kyle Scott,8/18/1950,Married,Male
11420,189,Jordan Turner,1/9/1952,Married,Male
11421,172,Amy Sun,1/16/1952,Married,Female
11422,268,Dustin Deng,2/29/1952,Married,Male
11423,147,Jasmine Stewart,5/4/1960,Married,Female
11424,164,Pamela Garcia,12/3/1964,Married,Female
11425,184,Ariana Gray,8/2/1965,Married,Female
11426,156,Kristopher Mehta,4/1/1959,Married,Male
11427,168,Desiree Dominguez,6/17/1959,Married,Female
11428,173,Deanna Perez,2/19/1959,Single,Female
11429,218,Marco Lopez,1/13/1958,Married,Male
11430,155,Casey Yuan,9/21/1957,Married,Female
11431,120,Bryant Garcia,10/20/1974,Married,Male
11432,206,Dominique Prasad,3/10/1957,Married,Female
11433,224,Maurice Shan,3/1/1957,Married,Male
11434,274,Andre Lopez,5/2/1962,Married,Male
11435,168,Robin Romero,9/3/1955,Single,Female
11436,273,Taylor Cox,3/17/1956,Married,Female
11437,190,Alfredo Moreno,6/16/1955,Married,Male
11438,162,Jenny Nara,4/13/1955,Married,Female
11439,217,Janet Munoz,11/14/1953,Married,Female
11440,187,Sergio Weber,3/26/1953,Married,Male
11441,192,Erika Gomez,12/9/1952,Married,Female
11442,224,Joseph Harris,5/13/1953,Married,Male
11443,31,Grace Griffin,11/19/1981,Single,Female
11444,32,Tina Mehta,10/26/1981,Married,Female
11445,15,Kari Kim,1/18/1980,Single,Female
11446,5,Bethany Chander,2/9/1980,Single,Female
11447,25,Jennifer Roberts,2/13/1980,Married,Female
11448,35,Kyle Patterson,10/25/1980,Single,Male
11449,37,Alvin Hu,8/1/1980,Married,Male
11450,28,Brett Mehta,5/11/1981,Single,Male
11451,10,Ruben Muñoz,5/8/1980,Single,Male
11452,21,Erika Rubio,5/5/1979,Single,Female
11453,31,Stanley Malhotra,8/17/1984,Single,Male
11454,35,Melinda Navarro,10/20/1979,Single,Female
11455,36,Ross Sanz,10/19/1979,Married,Male
11456,17,Jon Gao,1/5/1980,Married,Male
11457,19,Jaime Gutierrez,11/18/1978,Married,Female
11458,16,Bianca Liu,10/3/1978,Married,Female
11459,13,Tasha Deng,4/12/1978,Single,Female
11460,33,Melvin Chande,10/4/1983,Single,Male
11461,6,Victor Jimenez,9/22/1977,Single,Male
11462,8,Laura Lin,7/18/1977,Married,Female
11463,28,Alisha Beck,9/9/1977,Married,Female
11464,38,Alejandro Huang,5/15/1977,Married,Male
11465,23,Louis Luo,8/18/1976,Married,Male
11466,6,Grant Tang,1/30/1977,Married,Male
11467,17,Arturo Zheng,4/6/1975,Married,Male
11468,278,Jaclyn Andersen,12/15/1980,Married,Female
11469,278,Edwin Raji,10/14/1978,Single,Male
11470,177,Jay Suarez,3/25/1979,Single,Male
11471,207,Latasha Suarez,3/25/1979,Single,Female
11472,24,Kenneth Kumar,9/30/1968,Single,Male
11473,221,Grace Henderson,1/30/1986,Single,Female
11474,265,Melvin Xu,8/21/1985,Single,Male
11475,251,Cesar Subram,4/7/1984,Single,Male
11476,241,Erika Navarro,5/16/1980,Married,Female
11477,127,Tristan Hughes,6/21/1984,Single,Male
11478,218,Billy Hernandez,2/22/1984,Single,Male
11479,182,Darryl Wu,10/20/1978,Married,Male
11480,224,Colleen Ma,3/7/1984,Married,Female
11481,156,Erica Hu,11/20/1978,Married,Female
11482,272,Adrienne Torres,1/16/1978,Single,Female
11483,199,Calvin Chande,5/19/1983,Married,Male
11484,171,Erick Sai,3/3/1983,Single,Male
11485,237,Donald Chandra,2/4/1978,Married,Male
11486,117,Ariana Rogers,5/21/1982,Single,Female
11487,186,Morgan Jones,1/5/1977,Single,Female
11488,256,Jermaine Lopez,3/20/1977,Single,Male
11489,262,Deborah Goel,9/3/1976,Single,Female
11490,217,Danny Rubio,7/5/1976,Single,Male
11491,255,Andre Perez,4/2/1982,Married,Male
11492,115,Terrence Chander,11/15/1982,Single,Male
11493,255,Dawn Wu,5/31/1976,Single,Female
11494,267,Jimmy Gutierrez,1/25/1976,Single,Male
11495,154,Francis Jimenez,3/3/1977,Single,Male
11496,272,Gary Ortega,4/15/1976,Single,Male
11497,261,Katrina Nath,11/22/1981,Single,Female
11498,49,Arturo Sun,7/15/1979,Single,Male
11499,311,Pedro Vance,5/13/1980,Single,Male
11500,52,Sarah Simmons,3/17/1980,Single,Female
11501,49,Brandy Chandra,1/3/1981,Single,Female
11502,63,Jared Peterson,9/3/1980,Single,Male
11503,312,Dennis Wu,4/11/1936,Married,Male
11504,315,Jordan Baker,10/17/1936,Married,Female
11505,43,Jasmine Powell,1/4/1972,Single,Female
11506,60,Nicholas Brown,11/14/1971,Single,Male
11507,69,Isabella Russell,5/19/1972,Single,Female
11508,626,Elizabeth Wilson,1/4/1972,Single,Female
11509,347,Roger Harui,7/22/1964,Married,Female
11510,54,Seth Roberts,1/10/1959,Married,Male
11511,543,Caleb Perry,6/10/1964,Married,Male
11512,59,Natalie Campbell,8/5/1976,Single,Female
11513,62,Alyssa Howard,9/23/1965,Single,Female
11514,642,Dalton Diaz,4/16/1965,Married,Male
11515,301,Shannon Huang,8/25/1959,Married,Female
11516,310,Mya Gonzales,10/13/1976,Married,Female
11517,355,Katherine Bryant,12/18/1959,Married,Female
11518,545,Edward Washington,11/6/1960,Married,Male
11519,49,Jerome Navarro,9/13/1960,Married,Male
11520,60,Jada Morgan,10/8/1960,Married,Female
11521,644,Ariana Peterson,12/1/1977,Married,Female
11522,546,Christian Hughes,6/17/1972,Married,Male
11523,54,Lucas Taylor,2/7/1962,Married,Male
11524,374,Alyssa Jackson,7/22/1961,Married,Female
11525,543,Ariana Cook,7/8/1961,Married,Female
11526,70,Katherine Diaz,1/30/1973,Married,Female
11527,361,Jenna Green,12/2/1961,Married,Female
